Location,Pool_1,KG,NG,NK,Area (m²),Water (m³),Canopy (%),Guppy₁ (gr),Killifish₁ (gr),Guppy₂ (gr),Killifish₂ (gr),KG1,KG2
CAI,1,0,0,1,17.220000000000024,3.0399999999999996,30.199999999999974,10.957999999999991,16.286000000000037,13.067000000000005,17.46100000000001,1.4862201131593402,1.3362669319660214
CAI,2,0,1,0,17.550000000000004,1.8999999999999995,29.699999999999992,4.348,30.623100000000008,1.5090000000000001,20.618,7.0430312787488525,13.663353214049037
CAI,3,1,0,0,15.740000000000007,2.2400000000000024,25.0,12.696000000000005,19.170000000000023,10.739000000000011,18.779,1.5099243856332716,1.7486730608064047
NAR,1,0,0,1,18.35000000000001,3.7999999999999985,24.8,3.453999999999999,30.77599999999999,12.538000000000004,29.125999999999987,8.910248986682108,2.32301802520338
NAR,2,0,1,0,9.550000000000006,1.5,33.100000000000016,17.673,18.13,19.137999999999995,17.788000000000007,1.025858654444633,0.9294597136586902
NAR,3,1,0,0,5.579999999999997,0.8400000000000015,35.40000000000005,8.850999999999996,23.29199999999998,9.479000000000003,19.83300000000001,2.631567054570104,2.0923093153286216
QUA,1,1,0,0,12.609999999999998,2.5099999999999967,26.09999999999996,4.906000000000005,43.65000000000006,6.623000000000002,55.13500000000013,8.897268650631883,8.324777291257755
QUA,2,0,0,1,16.07000000000002,2.2900000000000014,25.5,7.074999999999993,31.859999999999957,9.33600000000001,12.839000000000022,4.503180212014133,1.3752142245072847
QUA,3,0,1,0,15.200000000000014,3.5,21.900000000000002,6.300000000000006,63.4229999999999,0.5109999999999995,69.23900000000002,10.067142857142832,135.49706457925654
QUA2,1,0,1,0,11.75,2.1700000000000013,36.900000000000034,2.6829999999999963,33.10999999999997,2.364000000000001,17.51800000000002,12.34066343645174,7.410321489001696
QUA2,2,0,0,1,9.139999999999992,2.5600000000000014,20.899999999999984,3.5400000000000023,9.759999999999994,3.9259999999999993,14.285000000000009,2.757062146892652,3.638563423331638
QUA2,3,1,0,0,13.190000000000001,1.9300000000000013,27.10000000000001,3.4050000000000002,16.032000000000004,1.1730000000000012,9.72300000000001,4.708370044052864,8.289002557544757
